"id","departamento","codigo_departamento"
1,CASANARE,85
2,BOYACÁ,15
3,CUNDINAMARCA,25
4,BOGOTÁ D.C.,11
5,CALDAS,17
6,TOLIMA,73
7,RISARALDA,66
8,BOLÍVAR,13
9,VALLE DEL CAUCA,76
10,LA GUAJIRA,44
11,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88
12,CÓRDOBA,23
13,CESAR,20
14,CAUCA,19
15,ARAUCA,81
16,GUAINÍA,94
17,HUILA,41
18,SANTANDER,68
19,QUINDÍO,63
20,META,50
21,MAGDALENA,47
22,NORTE DE SANTANDER,54
23,ATLÁNTICO,8
24,SUCRE,70
25,CHOCÓ,27
26,ANTIOQUIA,5
