"proyecto_id","proyecto","capacidad","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano","tipo_proyecto","municipio","codigo_municipio","departamento","codigo_departamento"
109,GUAYEPO FASE I,200.0,2023-05-31,960000.0,166474,750000000000,1392,280320.0,Solar,Sabanalarga,8638,Atlántico,8
110,CORONA GIRARDOTA,3.690000057220459,2023-01-29,17712.0,3071,13837500000,26,5172.0,Solar,Girardota,5308,Antioquia,5
111,CETESA SUESCA,4.21999979019165,2023-01-29,20256.0,3513,15825000000,29,5915.0,Solar,Suesca,25772,Cundinamarca,25
112,CORONA SOPO,4.0,2023-01-29,19200.0,3329,15000000000,28,5606.0,Solar,Sopó,25758,Cundinamarca,25
113,CORONA MADRID,4.0,2023-01-29,19200.0,3329,15000000000,28,5606.0,Solar,Madrid,25430,Cundinamarca,25
114,ETERNIT SOACHA,0.9399999976158142,2023-01-29,4512.0,782,3525000000,7,1318.0,Solar,Soacha,25754,Cundinamarca,25
115,CLUB LAGARTOS,0.10000000149011612,2023-01-29,480.0,83,375000000,1,140.0,Solar,Bogotá D.C.,11001,Bogotá D.C.,11
116,GASEOSAS LUX,1.7999999523162842,2023-01-29,8640.0,1498,6750000000,13,2523.0,Solar,Bogotá D.C.,11001,Bogotá D.C.,11
117,CENTRAL CERVECERA SESQUILÉ,3.5,2023-01-29,16800.0,2913,13125000000,24,4906.0,Solar,Sesquilé,25736,Cundinamarca,25
118,CARVAJAL GINEBRA,4.150000095367432,2023-01-29,19920.0,3454,15562500000,29,5817.0,Solar,Ginebra,76306,Valle Del Cauca,76
119,ÉXITO CALI,0.6100000143051147,2023-01-29,2928.0,508,2287500000,4,855.0,Solar,Cali,76001,Valle Del Cauca,76
120,ÉXITO POPAYÁN,0.30000001192092896,2023-01-29,1440.0,250,1125000000,2,420.0,Solar,Popayán,19001,Cauca,19
121,POSTOBON MALAMBO,5.5,2023-01-29,26400.0,4578,20625000000,38,7709.0,Solar,Malambo,8433,Atlántico,8
122,HIPINTO PIEDECUESTA,1.2999999523162842,2023-01-29,6240.0,1082,4875000000,9,1822.0,Solar,Piedecuesta,68547,Santander,68
123,WINDPESHI,195.02999877929688,2024-01-01,1872288.0,324674,731363000000,542,546708.0,Eólico,Maicao,44430,La Guajira,44
124,SOL DE GAMARRITA 1-3,45.0,2023-02-09,216000.0,37457,168750000000,313,63072.0,Solar,Aguachica,20011,Cesar,20
125,CASA ELÉCTRICA (AES),176.3000030517578,2024-01-01,1692480.0,293494,661125000000,490,494204.0,Eólico,Uribia,44847,La Guajira,44
126,APOTOLORRU (AES),75.0,2024-01-01,720000.0,124855,281250000000,209,210240.0,Eólico,Uribia,44847,La Guajira,44
127,PV LA MATA,80.0,2023-12-31,384000.0,66590,344000000000,557,112128.0,Solar,La Gloria,20383,Cesar,20
128,PV LA UNIÓN,100.0,2023-12-31,480000.0,83237,375000000000,696,140160.0,Solar,Montería,23001,Córdoba,23
129,PÉTALO DEL CESAR II,19.899999618530273,2024-02-29,95520.0,16564,74625000000,139,27892.0,Solar,La Esperanza,54385,Norte De Santander,54
130,PÉTALO DEL CESAR I,9.899999618530273,2024-02-29,47520.0,8240,37125000000,69,13876.0,Solar,Chiriguaná,20178,Cesar,20
131,SEBASTOSOL,700.0,2023-12-31,3360000.0,582659,2625000000000,4872,981120.0,Solar,Cimitarra,68190,Santander,68
132,BOSQUES SOLARES DE BOLÍVAR (5X19.9),99.5,2023-12-31,477600.0,82821,373125000000,693,139459.0,Solar,Sabanalarga,8638,Atlántico,8
133,AQUASOL,1.5,2022-10-31,7200.0,1249,5625000000,10,2102.0,Solar,Monteria,23,Córdoba,23
134,CARACOLÍ I,50.0,2023-08-31,240000.0,41618,187500000000,348,70080.0,Solar,Malambo,8433,Atlántico,8
135,PARQUE EÓLICO VIENTOS DE GALERAZAMBA,9.899999618530273,2024-01-01,95040.0,16481,37125000000,28,27752.0,Eólico,Santa Catalina,13673,Bolívar,13
136,GUAYEPO FASE II,200.0,2023-12-31,960000.0,166474,750000000000,1392,280320.0,Solar,Sabanalarga,8638,Atlántico,8
137,SIERRA,200.0,2023-05-12,960000.0,166474,750000000000,1392,280320.0,Solar,Puerto Nare,5585,Antioquia,5
138,TEPUY,83.0,2023-07-31,398400.0,69087,311250000000,578,116333.0,Solar,La Dorada,17380,Caldas,17
139,SHANGRI-LA,160.0,2023-06-30,768000.0,133179,600000000000,1114,224256.0,Solar,Ibagué,73001,Tolima,73
140,CHEMESKY (ENEL GREEN POWER),98.8499984741211,2024-01-01,948960.0,164560,370688000000,275,277096.0,Eólico,Uribia,44847,La Guajira,44
141,PUERTA DE ORO Fase 2,180.0,2999-12-31,864000.0,149827,675000000000,1253,252288.0,Solar,Guaduas,25320,Cundinamarca,25
142,ACACIAS 2 (CELSIA),80.0,2023-11-01,768000.0,133179,300000000000,222,224256.0,Eólico,Maicao,44430,La Guajira,44
143,TUMAWIND (ENEL GREEN POWER),197.77000427246094,2024-01-01,1898592.0,329236,741638000000,550,554389.0,Eólico,Uribia,44847,La Guajira,44
144,CAMELIA (CELSIA),250.0,2023-12-01,2400000.0,416185,937500000000,695,700800.0,Eólico,Uribia,44847,La Guajira,44
145,ESCOBAL 1 AL 5,99.5,2023-12-31,477600.0,82821,373125000000,693,139459.0,Solar,Alvarado,73026,Tolima,73
146,Parque Fotovoltaico Sunnorte,35.0,2023-12-31,168000.0,29133,131250000000,244,49056.0,Solar,Cucuta,54,Norte De Santander,54
147,Pubenza PSR2,50.0,2023-12-31,240000.0,41618,187500000000,348,70080.0,Solar,Bogotá D.C.,11001,Bogotá D.C.,11
148,SABANALARGA,200.0,2024-04-09,960000.0,166474,750000000000,1392,280320.0,Solar,Sabanalarga,8638,Atlántico,8
149,PARQUE SOLAR FOTOVOLTAICO FUNDACIÓN,99.0,2024-06-30,475200.0,82405,371250000000,689,138758.0,Solar,Fundación,47288,Magdalena,47
150,TULUÁ,13.300000190734863,2022-04-30,63840.0,11071,57190000000,93,18641.0,Solar,Tuluá,76834,Valle Del Cauca,76
151,Parque Fotovoltaico Montelíbano Solar,9.899999618530273,2022-10-30,47520.0,8240,37125000000,69,13876.0,Solar,Monteria,23,Córdoba,23
152,BUGA 1 PARTE 2,5.940000057220459,2022-12-31,28512.0,4944,22275000000,41,8326.0,Solar,Cali,76,Valle Del Cauca,76
153,BUGA 1 PARTE 1,3.9600000381469727,2022-07-31,19008.0,3296,14850000000,28,5550.0,Solar,Cali,76,Valle Del Cauca,76
154,REFINERÍA GRB,21.0,2023-12-31,100800.0,17480,78750000000,146,29434.0,Solar,Barrancabermeja,68081,Santander,68
155,EMSA GD Y AG (34 Proyectos),1.899999976158142,2022-05-31,9120.0,1582,8170000000,13,2663.0,Solar,Villavicencio,50001,Meta,50
156,ENELAR GD Y AG (4 Proyectos),0.10999999940395355,2022-05-31,528.0,92,473000000,1,154.0,Solar,Arauca,81001,Arauca,81
