"id","proyecto","tipo","capacidad","departamento","municipio","codigo_departamento","codigo_municipio","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano"
113,CETESA SUESCA,Solar,4.22,CUNDINAMARCA,SUESCA,25,25772,2023-01-29 00:00:00.000,20256.0,3513,15825000000,29,5915.0
114,CORONA SOPO,Solar,4.0,CUNDINAMARCA,SOPÓ,25,25758,2023-01-29 00:00:00.000,19200.0,3329,15000000000,28,5606.0
115,CORONA MADRID,Solar,4.0,CUNDINAMARCA,MADRID,25,25430,2023-01-29 00:00:00.000,19200.0,3329,15000000000,28,5606.0
116,ETERNIT SOACHA,Solar,0.94,CUNDINAMARCA,SOACHA,25,25754,2023-01-29 00:00:00.000,4512.0,782,3525000000,7,1318.0
117,CLUB LAGARTOS,Solar,0.1,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2023-01-29 00:00:00.000,480.0,83,375000000,1,140.0
118,GASEOSAS LUX,Solar,1.8,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2023-01-29 00:00:00.000,8640.0,1498,6750000000,13,2523.0
119,CENTRAL CERVECERA SESQUILÉ,Solar,3.5,CUNDINAMARCA,SESQUILÉ,25,25736,2023-01-29 00:00:00.000,16800.0,2913,13125000000,24,4906.0
120,CARVAJAL GINEBRA,Solar,4.15,VALLE DEL CAUCA,GINEBRA,76,76306,2023-01-29 00:00:00.000,19920.0,3454,15562500000,29,5817.0
121,ÉXITO CALI,Solar,0.61,VALLE DEL CAUCA,CALI,76,76001,2023-01-29 00:00:00.000,2928.0,508,2287500000,4,855.0
122,ÉXITO POPAYÁN,Solar,0.3,CAUCA,POPAYÁN,19,19001,2023-01-29 00:00:00.000,1440.0,250,1125000000,2,420.0
123,POSTOBON MALAMBO,Solar,5.5,ATLÁNTICO,MALAMBO,8,8433,2023-01-29 00:00:00.000,26400.0,4578,20625000000,38,7709.0
124,HIPINTO PIEDECUESTA,Solar,1.3,SANTANDER,PIEDECUESTA,68,68547,2023-01-29 00:00:00.000,6240.0,1082,4875000000,9,1822.0
125,WINDPESHI,Eólico,195.03,LA GUAJIRA,MAICAO,44,44430,2024-01-01 00:00:00.000,1872288.0,324674,731363000000,542,546708.0
126,SOL DE GAMARRITA 1-3,Solar,45.0,CESAR,AGUACHICA,20,20011,2023-02-09 00:00:00.000,216000.0,37457,168750000000,313,63072.0
127,CASA ELÉCTRICA (AES),Eólico,176.3,LA GUAJIRA,URIBIA,44,44847,2024-01-01 00:00:00.000,1692480.0,293494,661125000000,490,494204.0
128,APOTOLORRU (AES),Eólico,75.0,LA GUAJIRA,URIBIA,44,44847,2024-01-01 00:00:00.000,720000.0,124855,281250000000,209,210240.0
129,PV LA MATA,Solar,80.0,CESAR,LA GLORIA,20,20383,2023-12-31 00:00:00.000,384000.0,66590,344000000000,557,112128.0
130,PV LA UNIÓN,Solar,100.0,CÓRDOBA,MONTERÍA,23,23001,2023-12-31 00:00:00.000,480000.0,83237,375000000000,696,140160.0
131,PÉTALO DEL CESAR II,Solar,19.9,NORTE DE SANTANDER,LA ESPERANZA,54,54385,2024-02-29 00:00:00.000,95520.0,16564,74625000000,139,27892.0
132,PÉTALO DEL CESAR I,Solar,9.9,CESAR,CHIRIGUANÁ,20,20178,2024-02-29 00:00:00.000,47520.0,8240,37125000000,69,13876.0
133,SEBASTOSOL,Solar,700.0,SANTANDER,CIMITARRA,68,68190,2023-12-31 00:00:00.000,3360000.0,582659,2625000000000,4872,981120.0
134,BOSQUES SOLARES DE BOLÍVAR (5X19.9),Solar,99.5,ATLÁNTICO,SABANALARGA,8,8638,2023-12-31 00:00:00.000,477600.0,82821,373125000000,693,139459.0
135,AQUASOL,Solar,1.5,CÓRDOBA,"""""",23,23,2022-10-31 00:00:00.000,7200.0,1249,5625000000,10,2102.0
136,CARACOLÍ I,Solar,50.0,ATLÁNTICO,MALAMBO,8,8433,2023-08-31 00:00:00.000,240000.0,41618,187500000000,348,70080.0
137,PARQUE EÓLICO VIENTOS DE GALERAZAMBA,Eólico,9.9,BOLÍVAR,SANTA CATALINA,13,13673,2024-01-01 00:00:00.000,95040.0,16481,37125000000,28,27752.0
138,GUAYEPO FASE II,Solar,200.0,ATLÁNTICO,SABANALARGA,8,8638,2023-12-31 00:00:00.000,960000.0,166474,750000000000,1392,280320.0
139,SIERRA,Solar,200.0,ANTIOQUIA,PUERTO NARE,5,5585,2023-05-12 00:00:00.000,960000.0,166474,750000000000,1392,280320.0
140,TEPUY,Solar,83.0,CALDAS,LA DORADA,17,17380,2023-07-31 00:00:00.000,398400.0,69087,311250000000,578,116333.0
141,SHANGRI-LA,Solar,160.0,TOLIMA,IBAGUÉ,73,73001,2023-06-30 00:00:00.000,768000.0,133179,600000000000,1114,224256.0
142,CHEMESKY (ENEL GREEN POWER),Eólico,98.85,LA GUAJIRA,URIBIA,44,44847,2024-01-01 00:00:00.000,948960.0,164560,370688000000,275,277096.0
143,PUERTA DE ORO Fase 2,Solar,180.0,CUNDINAMARCA,GUADUAS,25,25320,2999-12-31 00:00:00.000,864000.0,149827,675000000000,1253,252288.0
144,ACACIAS 2 (CELSIA),Eólico,80.0,LA GUAJIRA,MAICAO,44,44430,2023-11-01 00:00:00.000,768000.0,133179,300000000000,222,224256.0
145,TUMAWIND (ENEL GREEN POWER),Eólico,197.77,LA GUAJIRA,URIBIA,44,44847,2024-01-01 00:00:00.000,1898592.0,329236,741638000000,550,554389.0
146,CAMELIA (CELSIA),Eólico,250.0,LA GUAJIRA,URIBIA,44,44847,2023-12-01 00:00:00.000,2400000.0,416185,937500000000,695,700800.0
147,ESCOBAL 1 AL 5,Solar,99.5,TOLIMA,ALVARADO,73,73026,2023-12-31 00:00:00.000,477600.0,82821,373125000000,693,139459.0
148,Parque Fotovoltaico Sunnorte,Solar,35.0,NORTE DE SANTANDER,"""""",54,54,2023-12-31 00:00:00.000,168000.0,29133,131250000000,244,49056.0
149,Pubenza PSR2,Solar,50.0,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2023-12-31 00:00:00.000,240000.0,41618,187500000000,348,70080.0
150,SABANALARGA,Solar,200.0,ATLÁNTICO,SABANALARGA,8,8638,2024-04-09 00:00:00.000,960000.0,166474,750000000000,1392,280320.0
151,PARQUE SOLAR FOTOVOLTAICO FUNDACIÓN,Solar,99.0,MAGDALENA,FUNDACIÓN,47,47288,2024-06-30 00:00:00.000,475200.0,82405,371250000000,689,138758.0
152,TULUÁ,Solar,13.3,VALLE DEL CAUCA,TULUÁ,76,76834,2022-04-30 00:00:00.000,63840.0,11071,57190000000,93,18641.0
153,Parque Fotovoltaico Montelíbano Solar,Solar,9.9,CÓRDOBA,"""""",23,23,2022-10-30 00:00:00.000,47520.0,8240,37125000000,69,13876.0
154,BUGA 1 PARTE 2,Solar,5.94,VALLE DEL CAUCA,"""""",76,76,2022-12-31 00:00:00.000,28512.0,4944,22275000000,41,8326.0
155,BUGA 1 PARTE 1,Solar,3.96,VALLE DEL CAUCA,"""""",76,76,2022-07-31 00:00:00.000,19008.0,3296,14850000000,28,5550.0
156,REFINERÍA GRB,Solar,21.0,SANTANDER,BARRANCABERMEJA,68,68081,2023-12-31 00:00:00.000,100800.0,17480,78750000000,146,29434.0
157,EMSA GD Y AG (34 Proyectos),Solar,1.9,META,VILLAVICENCIO,50,50001,2022-05-31 00:00:00.000,9120.0,1582,8170000000,13,2663.0
158,ENELAR GD Y AG (4 Proyectos),Solar,0.11,ARAUCA,ARAUCA,81,81001,2022-05-31 00:00:00.000,528.0,92,473000000,1,154.0
